User_ID,Age,Gender,Location,Income,Interests,Last_Login_Days_Ago,Purchase_Frequency,Average_Order_Value,Total_Spending,Product_Category_Preference,Time_Spent_on_Site_Minutes,Pages_Viewed,Newsletter_Subscription
每个用户的唯一标识符，便于追踪和分析。,用户的年龄，提供对人口统计偏好的洞察。,用户的性别，使能性别特定的推荐和定位。,用户所在地区：郊区、农村、城市，影响偏好和购物习惯。,用户的收入水平，表明购买力和支付能力。,用户的兴趣，如运动、时尚、技术等，指导内容和产品推荐。,用户上次登录以来的天数，反映参与频率。,用户进行购买的频率，表明购物习惯和忠诚度。,用户下单的平均价值，对定价和促销策略至关重要。,用户消费的总金额，表明终身价值和购买行为。,用户偏好的特定产品类别。,用户在电子商务平台上花费的时间，表明参与程度。,用户在访问期间浏览的页面数量，反映浏览活动和兴趣。,用户是否订阅了营销活动通知。
#DEMO0001,49,Female,Urban,315502,Lifestyle,2,12,2030.13,24361.54,Apparel,77,75,TRUE
#DEMO0002,52,Female,Suburban,233335,Lifestyle,2,12,2002.51,24030.09,Apparel,64,52,TRUE
#DEMO0003,50,Female,Suburban,197031,Fashion,2,14,1606.16,22486.25,Apparel,69,68,TRUE
#DEMO0004,50,Female,Suburban,220684,Lifestyle,4,14,1804.58,25264.14,Apparel,87,57,TRUE
#DEMO0005,53,Female,Urban,312108,Lifestyle,3,13,1596.14,20749.88,Apparel,48,45,TRUE
#DEMO0006,49,Female,Suburban,318621,Luxury,5,10,1848.64,18486.43,Apparel,98,35,TRUE
#DEMO0007,52,Female,Suburban,353237,Fashion,4,13,1660.93,21592.11,Apparel,63,27,TRUE
#DEMO0008,53,Female,Urban,201142,Lifestyle,3,15,2036.47,30547.1,Apparel,99,75,TRUE
#DEMO0009,52,Female,Urban,183917,Lifestyle,4,15,1688.67,25330.02,Apparel,67,36,TRUE
#DEMO0010,50,Female,Urban,220625,Luxury,2,12,2289.27,27471.29,Apparel,80,56,TRUE
#DEMO0011,50,Female,Suburban,355454,Fashion,3,12,1566.97,18803.64,Apparel,88,40,TRUE
#DEMO0012,51,Female,Suburban,227864,Lifestyle,2,12,1728.25,20739.02,Apparel,72,51,TRUE
#DEMO0013,50,Female,Suburban,354697,Fashion,3,10,1403.69,14036.94,Apparel,79,70,TRUE
#DEMO0014,50,Female,Urban,195509,Fashion,5,13,1632.07,21216.87,Apparel,100,62,TRUE
#DEMO0015,52,Female,Suburban,256265,Luxury,3,15,1792.42,26886.27,Apparel,85,26,TRUE
#DEMO0016,52,Female,Urban,322487,Lifestyle,2,10,1853.29,18532.9,Apparel,54,58,TRUE
#DEMO0017,49,Female,Urban,216969,Lifestyle,1,11,2118.76,23306.35,Apparel,77,63,TRUE
#DEMO0018,49,Female,Suburban,334615,Lifestyle,4,10,1603.99,16039.93,Apparel,87,44,TRUE
#DEMO0019,53,Female,Suburban,211137,Lifestyle,5,11,2030.59,22336.48,Apparel,60,36,TRUE
#DEMO0020,52,Female,Suburban,180938,Lifestyle,4,15,1656.75,24851.26,Apparel,55,29,TRUE
#DEMO0021,49,Female,Suburban,273176,Fashion,1,14,1667.51,23345.11,Apparel,58,28,TRUE
#DEMO0022,50,Female,Urban,186341,Luxury,2,14,1331.3,18638.23,Apparel,77,37,TRUE
#DEMO0023,50,Female,Urban,183901,Luxury,2,10,2230.38,22303.84,Apparel,59,55,TRUE
#DEMO0024,49,Female,Suburban,187947,Luxury,1,9,2066.96,18602.63,Apparel,61,36,TRUE
#DEMO0025,52,Female,Urban,213257,Luxury,4,11,1349.08,14839.89,Apparel,63,40,TRUE
#DEMO0026,52,Female,Urban,330092,Luxury,2,15,1342.62,20139.35,Apparel,82,44,TRUE
#DEMO0027,53,Female,Urban,201921,Lifestyle,4,11,1321.59,14537.45,Apparel,57,45,TRUE
#DEMO0028,53,Female,Suburban,237798,Lifestyle,1,9,2136.76,19230.85,Apparel,55,50,TRUE
#DEMO0029,50,Female,Suburban,245273,Fashion,4,15,2243.8,33656.93,Apparel,78,68,TRUE
#DEMO0030,53,Female,Urban,221444,Fashion,5,15,1465.64,21984.64,Apparel,79,64,TRUE
#DEMO0031,50,Female,Suburban,247048,Fashion,4,14,1960.54,27447.54,Apparel,53,69,TRUE
#DEMO0032,53,Female,Urban,253077,Fashion,2,12,2246.13,26953.51,Apparel,58,64,TRUE
#DEMO0033,52,Female,Suburban,273826,Lifestyle,4,10,1889.66,18896.65,Apparel,64,25,TRUE
#DEMO0034,49,Female,Suburban,333198,Fashion,2,11,2252.26,24774.9,Apparel,86,59,TRUE
#DEMO0035,52,Female,Suburban,197855,Lifestyle,5,15,1541.95,23129.21,Apparel,51,65,TRUE
#DEMO0036,52,Female,Suburban,199522,Fashion,2,10,2107.23,21072.35,Apparel,72,66,TRUE
#DEMO0037,51,Female,Suburban,220751,Luxury,4,12,2179.65,26155.74,Apparel,65,28,TRUE
#DEMO0038,51,Female,Urban,211294,Fashion,4,15,1704.64,25569.61,Apparel,76,59,TRUE
#DEMO0039,51,Female,Suburban,350225,Luxury,2,10,2289.33,22893.27,Apparel,89,74,TRUE
#DEMO0040,49,Female,Suburban,246293,Lifestyle,3,11,1742.85,19171.33,Apparel,55,61,TRUE
#DEMO0041,53,Female,Suburban,251842,Lifestyle,4,13,1323.33,17203.27,Apparel,66,40,TRUE
#DEMO0042,50,Female,Urban,355935,Fashion,5,15,2220.27,33304.11,Apparel,63,26,TRUE
#DEMO0043,52,Female,Suburban,296259,Fashion,5,9,1932.39,17391.51,Apparel,96,72,TRUE
#DEMO0044,53,Female,Urban,265259,Fashion,4,11,1881.14,20692.55,Apparel,62,75,TRUE
#DEMO0045,49,Female,Urban,222722,Luxury,2,13,1684.72,21901.35,Apparel,100,26,TRUE
#DEMO0046,52,Female,Suburban,293881,Luxury,1,9,1798.61,16187.51,Apparel,80,66,TRUE
#DEMO0047,49,Female,Urban,224557,Fashion,5,13,2023.73,26308.44,Apparel,100,61,TRUE
#DEMO0048,49,Female,Suburban,274134,Luxury,5,15,1564.47,23466.98,Apparel,50,72,TRUE
#DEMO0049,50,Female,Suburban,277481,Lifestyle,1,14,2013.89,28194.46,Apparel,78,28,TRUE
#DEMO0050,51,Female,Urban,182904,Luxury,4,14,1402.77,19638.73,Apparel,48,62,TRUE
#DEMO0051,49,Female,Suburban,302681,Lifestyle,2,13,2049.41,26642.37,Apparel,51,28,TRUE
#DEMO0052,52,Female,Urban,187416,Fashion,4,15,1810.36,27155.43,Apparel,50,71,TRUE
#DEMO0053,52,Female,Suburban,253235,Fashion,2,12,1995.65,23947.84,Apparel,66,29,TRUE
#DEMO0054,53,Female,Urban,296961,Fashion,5,11,1367.15,15038.7,Apparel,76,52,TRUE
#DEMO0055,52,Female,Urban,283785,Lifestyle,5,12,2078.15,24937.86,Apparel,93,57,TRUE
#DEMO0056,53,Female,Suburban,285528,Fashion,1,15,1721.95,25829.24,Apparel,68,53,TRUE
#DEMO0057,51,Female,Urban,185247,Fashion,3,11,1351.83,14870.18,Apparel,84,52,TRUE
#DEMO0058,52,Female,Urban,281551,Fashion,3,13,1750.23,22752.95,Apparel,85,31,TRUE
#DEMO0059,52,Female,Urban,192299,Lifestyle,3,9,1659.36,14934.2,Apparel,66,37,TRUE
#DEMO0060,51,Female,Urban,258272,Luxury,3,9,1813.13,16318.16,Apparel,76,42,TRUE
