insight_title,insight_text,segment_name,priority,review_status,generated_at
High-value Customers - Stabilize,High-value Customers includes 122 customers (12.2%). Weighted AOV is 523.72; average RFM score is 13.02; Value Proxy Score is 72.84. Key issue: Need loyalty protection and VIP retention.,High-value Customers,High,Pending human review,2026-06-23T01:05:47Z
Potential Customers - Convert,Potential Customers includes 292 customers (29.2%). Weighted AOV is 1319.66; average RFM score is 8.47; Value Proxy Score is 48.19. Key issue: Large base but low repurchase frequency.,Potential Customers,Medium,Pending human review,2026-06-23T01:05:47Z
Churn-risk Customers - Recover,Churn-risk Customers includes 188 customers (18.8%). Weighted AOV is 812.1; average RFM score is 8.8; Value Proxy Score is 61.97. Key issue: High historical spending but low recent engagement.,Churn-risk Customers,High,Pending human review,2026-06-23T01:05:47Z
Regular Retained Customers - Upsell,Regular Retained Customers includes 307 customers (30.7%). Weighted AOV is 253.79; average RFM score is 9.16; Value Proxy Score is 43.94. Key issue: Frequent buyers with relatively lower spending.,Regular Retained Customers,Medium,Pending human review,2026-06-23T01:05:47Z
Other Customers - Nurture,Other Customers includes 91 customers (9.1%). Weighted AOV is 289.51; average RFM score is 6.02; Value Proxy Score is 21.32. Key issue: Low engagement and limited short-term value.,Other Customers,Low,Pending human review,2026-06-23T01:05:47Z
Elite Customer Segment,"Female customers around age 51 show the highest weighted AOV (1001.62) among sufficiently sized groups. Business meaning: This group should be treated as a priority profit-driving segment. Recommended action: Design premium product campaigns, expert review content, and VIP service benefits for this segment.",Cross-dimensional,Medium,Pending human review,2026-06-23T01:05:47Z
Regional Category Opportunity,Suburban customers in the Apparel category show strong weighted AOV (681.24). Business meaning: Regional category preference can reveal underexplored market opportunities. Recommended action: Create region-specific product bundles and content campaigns based on category preference.,Cross-dimensional,Medium,Pending human review,2026-06-23T01:05:47Z
Pareto Value Concentration,The top 10% users contribute approximately 18.6% of total spending. Business meaning: Revenue is concentrated among higher-value customers. Recommended action: Prioritize retention and service resources for top-value users.,Cross-dimensional,Medium,Pending human review,2026-06-23T01:05:47Z
Churn Recovery,"18.8% of users are high-spending but inactive, with strongest preference in Home & Kitchen. Business meaning: These users should be treated as dormant premium assets rather than low-value inactive users. Recommended action: Build win-back campaigns with product upgrade reminders, after-sales recovery, and service follow-up.",Cross-dimensional,Medium,Pending human review,2026-06-23T01:05:47Z
High-value Category Focus,High-value customers show the strongest preference in Apparel. Business meaning: Category preference helps translate high-value segmentation into campaign themes. Recommended action: Use category-specific VIP bundles and loyalty benefits for high-value customers.,Cross-dimensional,Medium,Pending human review,2026-06-23T01:05:47Z
