insight_title,insight_text,segment_name,priority,review_status,generated_at
高价值用户 - 稳定留存,High-value Customers（高价值用户）包含 122 个用户，占比 12.2%。Weighted AOV 为 523.72；Avg RFM Score 为 13.02；Value Proxy Score 为 72.84。核心问题：需要重点做忠诚度保护和 VIP 留存。建议方向：稳定留存。,High-value Customers,高,待人工复核,2026-06-23T02:34:51Z
潜力用户 - 转化提升,Potential Customers（潜力用户）包含 292 个用户，占比 29.2%。Weighted AOV 为 1319.66；Avg RFM Score 为 8.47；Value Proxy Score 为 48.19。核心问题：用户基数较大，但复购频次偏低。建议方向：转化提升。,Potential Customers,中,待人工复核,2026-06-23T02:34:51Z
流失风险用户 - 召回修复,Churn-risk Customers（流失风险用户）包含 188 个用户，占比 18.8%。Weighted AOV 为 812.1；Avg RFM Score 为 8.8；Value Proxy Score 为 61.97。核心问题：历史消费较高，但近期互动不足。建议方向：召回修复。,Churn-risk Customers,高,待人工复核,2026-06-23T02:34:51Z
一般保持用户 - 追加销售,Regular Retained Customers（一般保持用户）包含 307 个用户，占比 30.7%。Weighted AOV 为 253.79；Avg RFM Score 为 9.16；Value Proxy Score 为 43.94。核心问题：购买较频繁，但单体消费价值相对较低。建议方向：追加销售。,Regular Retained Customers,中,待人工复核,2026-06-23T02:34:51Z
其他用户 - 低成本培育,Other Customers（其他用户）包含 91 个用户，占比 9.1%。Weighted AOV 为 289.51；Avg RFM Score 为 6.02；Value Proxy Score 为 21.32。核心问题：互动较低，短期价值有限。建议方向：低成本培育。,Other Customers,低,待人工复核,2026-06-23T02:34:51Z
高客单细分人群,女性客户中约 51 岁客群的 Weighted AOV 为 1001.62，应作为高客单重点观察人群。 建议动作：设计高价值商品、专家内容和 VIP 服务权益。,Cross-dimensional,中,待人工复核,2026-06-23T02:34:51Z
区域品类机会,Suburban 地区 Apparel 品类客户的 Weighted AOV 为 681.24，说明区域品类组合存在运营机会。 建议动作：围绕区域和品类偏好设计组合商品与内容活动。,Cross-dimensional,中,待人工复核,2026-06-23T02:34:51Z
价值集中度,Top 10% 用户贡献约 18.6% 的总消费，说明消费贡献存在集中度。 建议动作：优先把留存和服务资源投入到高价值用户。,Cross-dimensional,中,待人工复核,2026-06-23T02:34:51Z
流失召回机会,18.8% 的用户属于高消费但近期不活跃人群，且偏好 Home & Kitchen，应优先做召回。 建议动作：使用产品升级提醒、售后关怀和服务跟进进行召回。,Cross-dimensional,中,待人工复核,2026-06-23T02:34:51Z
高价值品类聚焦,高价值用户对 Apparel 的偏好最强，可用于设计 VIP 品类包和会员权益。 建议动作：围绕 Apparel 品类设计 VIP 组合和忠诚度权益。,Cross-dimensional,中,待人工复核,2026-06-23T02:34:51Z
