User_ID,Age,Gender,Location,Income,Interests,Last_Login_Days_Ago,Purchase_Frequency,Average_Order_Value,Total_Spending,Product_Category_Preference,Time_Spent_on_Site_Minutes,Pages_Viewed,Newsletter_Subscription,weighted_aov,r_score,f_score,m_score,rfm_score,value_proxy_score,segment_name,segment_name_cn,business_role,action_priority
#1,56.0,Male,Suburban,38037.0,Sports,5.0,7.0,18.0,2546.0,Books,584.0,38.0,TRUE,363.71,5,4,3,12,58.22,High-value Customers,高价值用户,Core profit engine,Stabilize
#10,28.0,Male,Urban,121604.0,Food,13.0,8.0,61.0,4999.0,Electronics,114.0,36.0,FALSE,624.88,4,5,5,14,84.86,High-value Customers,高价值用户,Core profit engine,Stabilize
#100,61.0,Male,Suburban,36087.0,Food,9.0,7.0,92.0,4426.0,Apparel,139.0,36.0,FALSE,632.29,4,4,5,13,79.1,High-value Customers,高价值用户,Core profit engine,Stabilize
#1000,19.0,Male,Rural,74312.0,Sports,12.0,7.0,175.0,827.0,Health & Beauty,497.0,38.0,TRUE,118.14,4,4,1,9,35.38,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#101,25.0,Male,Rural,68868.0,Sports,29.0,5.0,51.0,552.0,Health & Beauty,276.0,12.0,FALSE,110.4,1,3,1,5,20.8,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#102,41.0,Male,Urban,139119.0,Food,15.0,9.0,26.0,4061.0,Home & Kitchen,291.0,9.0,FALSE,451.22,3,5,4,12,74.85,High-value Customers,高价值用户,Core profit engine,Stabilize
#103,28.0,Female,Urban,43225.0,Technology,5.0,8.0,182.0,1481.0,Electronics,53.0,36.0,TRUE,185.12,5,5,2,12,47.32,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#104,34.0,Female,Urban,115286.0,Sports,23.0,6.0,16.0,1567.0,Home & Kitchen,110.0,41.0,FALSE,261.17,2,4,2,8,38.3,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#105,25.0,Male,Suburban,26643.0,Travel,13.0,9.0,164.0,2838.0,Books,4.0,28.0,TRUE,315.33,4,5,3,12,62.11,High-value Customers,高价值用户,Core profit engine,Stabilize
#106,52.0,Male,Rural,113059.0,Sports,14.0,4.0,19.0,1316.0,Apparel,47.0,38.0,TRUE,329.0,3,3,2,8,35.58,Potential Customers,潜力用户,Growth engine,Convert
#107,52.0,Female,Suburban,56727.0,Food,20.0,7.0,43.0,980.0,Apparel,94.0,33.0,FALSE,140.0,2,4,1,7,34.16,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#108,50.0,Male,Suburban,31005.0,Fashion,15.0,1.0,45.0,3914.0,Health & Beauty,560.0,42.0,TRUE,3914.0,3,1,4,8,62.76,Potential Customers,潜力用户,Growth engine,Convert
#109,22.0,Female,Urban,129079.0,Sports,16.0,6.0,162.0,3249.0,Apparel,213.0,46.0,FALSE,541.5,3,4,4,11,61.57,Regular Retained Customers,一般保持用户,Traffic foundation,Upsell
#11,28.0,Male,Urban,49806.0,Travel,4.0,1.0,78.0,4410.0,Health & Beauty,147.0,43.0,TRUE,4410.0,5,1,5,11,72.18,Potential Customers,潜力用户,Growth engine,Convert
#110,59.0,Male,Suburban,85697.0,Travel,23.0,3.0,15.0,184.0,Electronics,436.0,22.0,FALSE,61.33,2,2,1,5,13.69,Other Customers,其他用户,Long-tail users,Nurture
