User_ID,Age,Gender,Location,Income,Interests,Last_Login_Days_Ago,Purchase_Frequency,Average_Order_Value,Total_Spending,Product_Category_Preference,Time_Spent_on_Site_Minutes,Pages_Viewed,Newsletter_Subscription,weighted_aov,r_score,f_score,m_score,rfm_score,value_proxy_score,segment_name,segment_name_cn,business_role,action_priority
#DEMO0001,49.0,Female,Urban,315502.0,Lifestyle,2.0,12.0,2030.13,24361.54,Apparel,77.0,75.0,TRUE,2030.13,5,5,5,15,89.11,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0002,52.0,Female,Suburban,233335.0,Lifestyle,2.0,12.0,2002.51,24030.09,Apparel,64.0,52.0,TRUE,2002.51,5,5,5,15,88.41,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0003,50.0,Female,Suburban,197031.0,Fashion,2.0,14.0,1606.16,22486.25,Apparel,69.0,68.0,TRUE,1606.16,5,5,5,15,84.85,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0004,50.0,Female,Suburban,220684.0,Lifestyle,4.0,14.0,1804.58,25264.14,Apparel,87.0,57.0,TRUE,1804.58,4,5,5,14,87.86,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0005,53.0,Female,Urban,312108.0,Lifestyle,3.0,13.0,1596.14,20749.88,Apparel,48.0,45.0,TRUE,1596.14,5,5,5,15,80.23,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0006,49.0,Female,Suburban,318621.0,Luxury,5.0,10.0,1848.64,18486.43,Apparel,98.0,35.0,TRUE,1848.64,4,4,4,12,73.37,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0007,52.0,Female,Suburban,353237.0,Fashion,4.0,13.0,1660.93,21592.11,Apparel,63.0,27.0,TRUE,1660.93,4,5,5,14,80.93,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0008,53.0,Female,Urban,201142.0,Lifestyle,3.0,15.0,2036.47,30547.1,Apparel,99.0,75.0,TRUE,2036.47,5,5,5,15,94.74,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0009,52.0,Female,Urban,183917.0,Lifestyle,4.0,15.0,1688.67,25330.02,Apparel,67.0,36.0,TRUE,1688.67,4,5,5,14,87.58,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0010,50.0,Female,Urban,220625.0,Luxury,2.0,12.0,2289.27,27471.29,Apparel,80.0,56.0,TRUE,2289.27,5,5,5,15,93.06,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0011,50.0,Female,Suburban,355454.0,Fashion,3.0,12.0,1566.97,18803.64,Apparel,88.0,40.0,TRUE,1566.97,5,5,4,14,76.42,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0012,51.0,Female,Suburban,227864.0,Lifestyle,2.0,12.0,1728.25,20739.02,Apparel,72.0,51.0,TRUE,1728.25,5,5,5,15,81.4,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0013,50.0,Female,Suburban,354697.0,Fashion,3.0,10.0,1403.69,14036.94,Apparel,79.0,70.0,TRUE,1403.69,5,4,4,13,64.49,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0014,50.0,Female,Urban,195509.0,Fashion,5.0,13.0,1632.07,21216.87,Apparel,100.0,62.0,TRUE,1632.07,4,5,5,14,79.7,High-value Customers,高价值用户,Core profit engine,Stabilize
#DEMO0015,52.0,Female,Suburban,256265.0,Luxury,3.0,15.0,1792.42,26886.27,Apparel,85.0,26.0,TRUE,1792.42,5,5,5,15,90.51,High-value Customers,高价值用户,Core profit engine,Stabilize
