insight_title,insight_text,segment_name,priority,review_status,generated_at
High-value Customers - Stabilize,High-value Customers includes 320 customers (32.0%). Weighted AOV is 1790.28; average RFM score is 13.8; Value Proxy Score is 81.18. Key issue: Need loyalty protection and VIP retention.,High-value Customers,High,Pending human review,2026-06-22T08:40:39Z
Potential Customers - Convert,Potential Customers includes 240 customers (24.0%). Weighted AOV is 1597.34; average RFM score is 7.01; Value Proxy Score is 36.63. Key issue: Large base but low repurchase frequency.,Potential Customers,Medium,Pending human review,2026-06-22T08:40:39Z
Churn-risk Customers - Recover,Churn-risk Customers includes 270 customers (27.0%). Weighted AOV is 1203.86; average RFM score is 7.86; Value Proxy Score is 46.7. Key issue: High historical spending but low recent engagement.,Churn-risk Customers,High,Pending human review,2026-06-22T08:40:39Z
Regular Retained Customers - Upsell,Regular Retained Customers includes 10 customers (1.0%). Weighted AOV is 1610.12; average RFM score is 10.9; Value Proxy Score is 64.29. Key issue: Frequent buyers with relatively lower spending.,Regular Retained Customers,Medium,Pending human review,2026-06-22T08:40:39Z
Other Customers - Nurture,Other Customers includes 160 customers (16.0%). Weighted AOV is 166.36; average RFM score is 4.63; Value Proxy Score is 12.64. Key issue: Low engagement and limited short-term value.,Other Customers,Low,Pending human review,2026-06-22T08:40:39Z
Elite Customer Segment,"Female customers around age 52 show the highest weighted AOV (1778.15) among sufficiently sized groups. Business meaning: This group should be treated as a priority profit-driving segment. Recommended action: Design premium product campaigns, expert review content, and VIP service benefits for this segment.",Cross-dimensional,Medium,Pending human review,2026-06-22T08:40:39Z
Regional Category Opportunity,Suburban customers in the Apparel category show strong weighted AOV (1798.06). Business meaning: Regional category preference can reveal underexplored market opportunities. Recommended action: Create region-specific product bundles and content campaigns based on category preference.,Cross-dimensional,Medium,Pending human review,2026-06-22T08:40:39Z
Pareto Value Concentration,The top 10% users contribute approximately 25.6% of total spending. Business meaning: Revenue is concentrated among higher-value customers. Recommended action: Prioritize retention and service resources for top-value users.,Cross-dimensional,Medium,Pending human review,2026-06-22T08:40:39Z
Churn Recovery,"27.0% of users are high-spending but inactive, with strongest preference in Home & Kitchen. Business meaning: These users should be treated as dormant premium assets rather than low-value inactive users. Recommended action: Build win-back campaigns with product upgrade reminders, after-sales recovery, and service follow-up.",Cross-dimensional,Medium,Pending human review,2026-06-22T08:40:39Z
High-value Category Focus,High-value customers show the strongest preference in Apparel. Business meaning: Category preference helps translate high-value segmentation into campaign themes. Recommended action: Use category-specific VIP bundles and loyalty benefits for high-value customers.,Cross-dimensional,Medium,Pending human review,2026-06-22T08:40:39Z
